cluster,title,expected_image,expected_html,match_type,matched_file,matched_title,actual_image,expected_image_exists,image_match
D - Palazzi,Consolidamento Solai e Volte in Edifici del '700,wine-cellar-sicilia.webp,consolidamento-solai-edifici-storici.html,title:0.80,consolidamento-solai-e-volte-in-edifici-del-700-tecniche-conservative.html,Consolidamento Solai e Volte in Edifici del '700: Tecniche Conservative,consolidamento-solai-e-volte-in-edifici-del-700-tecniche-conservative.webp,yes,no
D - Palazzi,Rifacimento Tetti nel Centro Storico: Coppi Siciliani,dettagli-esterni-villa-rivestimento-corten.webp,rifacimento-tetti-centro-storico.html,title:0.70,rifacimento-tetti-nel-centro-storico-coppi-siciliani-e-isolamento-termico.html,Rifacimento Tetti nel Centro Storico: Coppi Siciliani e Isolamento Termico,rifacimento-tetti-nel-centro-storico-coppi-siciliani-e-isolamento-termico.webp,yes,no
D - Palazzi,Umidità di Risalita nei Palazzi Antichi: Diagnosi,wine-cellar-sicilia.webp,umidita-risalita-palazzi-taormina.html,title:0.70,umidita-di-risalita-nei-palazzi-antichi-diagnosi-e-taglio-chimico.html,Umidità di Risalita nei Palazzi Antichi: Diagnosi e Taglio Chimico,umidita-di-risalita-nei-palazzi-antichi-diagnosi-e-taglio-chimico.webp,yes,no
D - Palazzi,Impiantistica Centralizzata vs Autonoma,architettura-di-interni-a-palermo-bagno.webp,impianti-centralizzati-palazzi-storici.html,title:0.40,impiantistica-centralizzata-vs-autonoma-cosa-conviene-in-un-palazzo-storico.html,Impiantistica Centralizzata vs Autonoma: Cosa Conviene in un Palazzo Storico?,impiantistica-centralizzata-vs-autonoma-cosa-conviene-in-un-palazzo-storico.webp,yes,no
D - Palazzi,Gestione Condominiale di Lusso: Portierato,ufficio-studio4e-palermo-centro-piazza-santoliva-19.webp,gestione-condominiale-lusso-taormina.html,title:0.62,gestione-condominiale-di-lusso-portierato-e-spazi-comuni.html,Gestione Condominiale di Lusso: Portierato e Spazi Comuni,gestione-condominiale-di-lusso-portierato-e-spazi-comuni.webp,yes,no
D - Palazzi,Restauro Affreschi e Stucchi: Valorizzazione,interni-loft.webp,restauro-affreschi-stucchi-taormina.html,,,,,yes,no
D - Palazzi,Scale Interne Monumentali: Restauro Pietra,scalamoderna-a-partanna.webp,restauro-scale-monumentali.html,title:0.62,scale-interne-monumentali-restauro-della-pietra-di-taormina.html,Scale Interne Monumentali: Restauro della Pietra di Taormina,scale-interne-monumentali-restauro-della-pietra-di-taormina.webp,no,no
D - Palazzi,Tassazione e Incentivi per il Restauro Beni Vincolati,ufficio-studio4e-palermo-centro-piazza-santoliva-19.webp,asse-incentivi-restauro-vincolati.html,title:0.89,tassazione-e-incentivi-per-il-restauro-di-beni-vincolati.html,Tassazione e Incentivi per il Restauro di Beni Vincolati,tassazione-e-incentivi-per-il-restauro-di-beni-vincolati.webp,yes,no
E - Logistica,Logistica di Cantiere a Taormina (Ape Car/Gru),dettagli-esterni-villa-rivestimento-corten.webp,logistica-cantiere-taormina.html,title:0.57,logistica-di-cantiere-a-taormina-come-portare-i-materiali-nei-vicoli-ape-car-gru.html,Logistica di Cantiere a Taormina: Come Portare i Materiali nei Vicoli (Ape Car/Gru),logistica-di-cantiere-a-taormina-come-portare-i-materiali-nei-vicoli-ape-car-gru.webp,yes,no
E - Logistica,Occupazione Suolo Pubblico: Costi e Tempi,ufficio-studio4e-palermo-centro-piazza-santoliva-19.webp,occupazione-suolo-pubblico-taormina.html,title:0.67,occupazione-suolo-pubblico-costi-elevati-e-tempi-di-rilascio.html,Occupazione Suolo Pubblico: Costi Elevati e Tempi di Rilascio,occupazione-suolo-pubblico-costi-elevati-e-tempi-di-rilascio.webp,yes,no
E - Logistica,Fermi Lavori Estivi: Pianificare il Cantiere,dettagli-esterni-villa-rivestimento-corten.webp,fermo-lavori-estivi-taormina.html,title:0.60,fermi-lavori-estivi-pianificare-il-cantiere-per-chiudere-entro-giugno.html,Fermi Lavori Estivi: Pianificare il Cantiere per Chiudere entro Giugno,fermi-lavori-estivi-pianificare-il-cantiere-per-chiudere-entro-giugno.webp,yes,no
E - Logistica,Vincolo Paesaggistico e Archeologico: Iter Autorizzativo,ufficio-studio4e-palermo-centro-piazza-santoliva-19.webp,vincolo-paesaggistico-taormina.html,title:0.67,vincolo-paesaggistico-e-archeologico-liter-autorizzativo-a-taormina.html,Vincolo Paesaggistico e Archeologico: L'Iter Autorizzativo a Taormina,vincolo-paesaggistico-e-archeologico-liter-autorizzativo-a-taormina.webp,yes,no
E - Logistica,Smaltimento Macerie: Costi da Zone ZTL,dettagli-esterni-villa-rivestimento-corten.webp,smaltimento-macerie-ztl-taormina.html,title:0.60,smaltimento-macerie-costi-di-trasporto-in-discarica-da-zone-ztl.html,Smaltimento Macerie: Costi di Trasporto in Discarica da Zone ZTL,smaltimento-macerie-costi-di-trasporto-in-discarica-da-zone-ztl.webp,yes,no
E - Logistica,Rumore in Cantiere: Rispetto Vicinato Turistico,ufficio-studio4e-palermo-centro-piazza-santoliva-19.webp,rumore-cantiere-normativa-taormina.html,title:0.60,rumore-in-cantiere-orari-ristretti-e-rispetto-del-vicinato-turistico.html,Rumore in Cantiere: Orari Ristretti e Rispetto del Vicinato Turistico,rumore-in-cantiere-orari-ristretti-e-rispetto-del-vicinato-turistico.webp,yes,no
E - Logistica,Computo Metrico a Taormina: Perché i Prezzi sono Alti,ufficio-studio4e-palermo-centro-piazza-santoliva-19.webp,computo-metrico-prezzi-taormina.html,title:0.64,computo-metrico-a-taormina-perche-i-prezzi-sono-il-30-piu-alti-della-media.html,Computo Metrico a Taormina: Perché i Prezzi sono il 30% più Alti della Media,computo-metrico-a-taormina-perche-i-prezzi-sono-il-30-piu-alti-della-media.webp,yes,no
E - Logistica,Direzione Lavori Locale: L'Importanza della Presenza,ufficio-studio4e-palermo-centro-piazza-santoliva-19.webp,direzione-lavori-taormina.html,title:0.42,direzione-lavori-locale-limportanza-di-essere-presenti-ogni-giorno.html,Direzione Lavori Locale: L'Importanza di Essere Presenti Ogni Giorno,direzione-lavori-locale-limportanza-di-essere-presenti-ogni-giorno.webp,yes,no
E - Logistica,Allacci Utenze (Enel/Acqua/Gas): Tempi,architettura-di-interni-a-palermo-bagno.webp,allacci-utenze-centro-storico.html,title:0.55,allacci-utenze-enel-acqua-gas-nel-centro-storico-tempi-e-procedure.html,Allacci Utenze (Enel/Acqua/Gas) nel Centro Storico: Tempi e Procedure,allacci-utenze-enel-acqua-gas-nel-centro-storico-tempi-e-procedure.webp,yes,no
E - Logistica,Certificato di Agibilità: Il Tassello Finale,ufficio-studio4e-palermo-centro-piazza-santoliva-19.webp,certificato-agibilita-taormina.html,title:0.55,certificato-di-agibilita-il-tassello-finale-per-vendere-o-aprire-attivita.html,Certificato di Agibilità: Il Tassello Finale per Vendere o Aprire Attività,certificato-di-agibilita-il-tassello-finale-per-vendere-o-aprire-attivita.webp,yes,no
